stcotrbg,count_of_households,size_accuracy,age_accuracy,income_accuracy,race_accuracy,overall_accuracy
"420035629001",266,0.91,0.78,0.45,1.60,3.74
"420035629002",166,0.65,0.90,1.61,0.75,3.91
"420035629003",422,1.27,0.91,0.81,0.75,3.74
"420035630001",465,1.63,0.52,1.29,0.20,3.64
"420035630002",336,1.84,0.69,0.47,1.09,4.09
"420035630003",292,0.48,0.60,1.32,1.80,4.20
"420035630004",213,0.33,1.47,0.92,0.82,3.54
"420035631001",448,1.33,1.11,0.67,1.20,4.31
"420035631002",955,1.55,0.69,1.66,3.61,7.51
"420035631003",209,0.43,1.13,1.28,0.40,3.24
"420035632001",206,0.86,0.70,0.58,0.00,2.14
"420035632002",615,1.14,1.72,0.54,2.84,6.24
"420035632003",637,1.05,0.95,1.96,2.37,6.33
"420035633001",240,0.33,0.11,1.24,0.19,1.87
"420035633002",310,0.79,0.55,0.96,0.00,2.30
"420035638001",285,0.84,0.40,0.87,0.02,2.13
"420035638002",1081,2.50,0.94,1.90,0.25,5.59
"420035638003",90,0.66,0.77,0.44,0.80,2.67
"420035638004",34,0.34,0.13,0.26,0.00,0.73
"420035638005",203,0.57,1.14,0.47,0.00,2.18
"420035638006",132,0.18,0.52,1.69,0.00,2.39
"420035639001",404,1.55,1.23,1.60,1.40,5.78
"420035639002",586,1.04,0.97,1.84,0.26,4.11
"420035639003",475,1.39,0.92,1.60,0.77,4.68
"420035639004",460,0.30,1.39,0.76,0.00,2.45
"420035640001",1177,1.90,2.11,2.52,1.41,7.94
"420035640002",854,1.12,1.60,1.09,0.00,3.81
"420035640003",167,0.74,1.22,1.10,0.20,3.26
"420035641001",173,0.71,0.37,0.29,0.40,1.77
"420035641002",183,0.29,0.61,0.37,0.00,1.27
"420035642001",153,0.98,0.99,0.69,0.20,2.86
"420035642002",465,0.81,0.72,1.12,1.35,4.00
"420035642003",418,0.49,0.96,0.79,2.33,4.57
"420035644001",471,0.98,1.53,0.89,0.00,3.40
"420035644002",502,0.89,0.53,1.34,0.40,3.16
"420035644003",498,0.39,2.05,1.99,0.40,4.83
"420035644004",589,1.83,1.31,2.39,0.20,5.73
"420035644005",290,1.43,0.63,1.47,0.00,3.53
"420035644006",259,0.74,0.98,0.84,0.40,2.96
"420035644007",25,0.42,0.43,0.57,0.00,1.42
"420035645001",610,0.95,0.82,1.99,0.00,3.76
"420035645002",444,1.11,1.23,4.15,2.20,8.69
"420035645003",210,0.59,0.60,0.76,0.20,2.15
"420039800001",304,0.43,1.00,1.80,0.40,3.63
"420039801001",8,0.61,0.00,0.00,0.00,0.61
"420039803001",1,0.00,0.00,0.00,0.00,0.00
"420039804001",14,0.14,0.00,0.00,0.00,0.14
"420039805001",14,0.26,0.00,0.09,0.00,0.35
"420039807001",10,0.19,0.00,0.29,0.00,0.48
"420039810001",2,0.00,0.00,0.00,0.00,0.00
"420039818001",43,0.20,0.00,1.14,0.00,1.34
"420039822001",165,0.86,2.17,0.77,0.00,3.80
