stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5
"420031018001",395,392,3,2.57,66,69,3,0.43,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031018002",564,568,4,3.13,143,136,7,1.39,0,0,0,0.00,0,0,0,0.00,14,17,3,0.06
"420031102001",284,303,19,12.61,68,47,21,3.34,76,78,2,0.36,0,0,0,0.00,0,0,0,0.00
"420031102002",286,278,8,6.07,75,78,3,0.60,0,0,0,0.00,0,0,0,0.00,16,21,5,0.21
"420031102003",424,423,1,0.69,153,159,6,1.50,24,22,2,0.08,0,0,0,0.00,10,7,3,0.05
"420031102004",406,397,9,6.72,128,135,7,1.65,0,0,0,0.00,10,12,2,0.04,0,0,0,0.00
"420031106001",310,306,4,3.04,98,102,4,0.96,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031106002",303,303,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031106003",208,212,4,2.58,85,81,4,1.05,12,11,1,0.04,0,0,0,0.00,18,19,1,0.06
"420031113001",100,110,10,2.72,268,258,10,7.28,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031113002",130,120,10,4.73,145,155,10,5.27,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031113003",28,33,5,0.50,254,249,5,4.50,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031113004",62,71,9,1.79,218,219,1,0.70,32,22,10,1.03,0,0,0,0.00,0,0,0,0.00
"420031114001",8,7,1,0.03,249,250,1,0.97,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031114002",22,18,4,0.27,291,295,4,3.54,0,0,0,0.00,0,0,0,0.00,16,16,0,0.00
"420031115001",109,113,4,1.03,291,282,9,6.16,0,0,0,0.00,0,0,0,0.00,25,30,5,0.29
"420031115002",372,375,3,1.07,505,508,3,1.45,147,144,3,0.42,13,12,1,0.01,9,7,2,0.02
"420031115004",0,0,0,0.00,323,317,6,5.65,0,0,0,0.00,0,0,0,0.00,20,26,6,0.35
"420031203001",49,39,10,1.16,372,382,10,8.84,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031203002",9,9,0,0.00,288,288,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031204001",0,0,0,0.00,204,204,0,0.00,11,11,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031204002",7,11,4,0.19,144,140,4,3.81,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031207001",21,23,2,0.16,237,235,2,1.84,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031207002",0,0,0,0.00,148,146,2,1.90,0,0,0,0.00,8,10,2,0.10,0,0,0,0.00
"420031208001",24,27,3,0.55,96,90,6,4.36,0,0,0,0.00,0,0,0,0.00,12,15,3,0.27
"420031208002",29,28,1,0.18,135,136,1,0.82,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031301001",0,0,0,0.00,315,315,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031301002",0,0,0,0.00,213,213,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031301003",0,0,0,0.00,232,233,1,0.98,0,0,0,0.00,5,4,1,0.02,0,0,0,0.00
"420031302001",0,0,0,0.00,224,226,2,1.92,0,0,0,0.00,9,7,2,0.08,0,0,0,0.00
"420031302002",5,6,1,0.02,291,290,1,0.98,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031303001",0,0,0,0.00,177,173,4,3.77,0,0,0,0.00,0,0,0,0.00,11,15,4,0.23
"420031303002",10,11,1,0.08,101,102,1,0.81,0,0,0,0.00,0,0,0,0.00,14,12,2,0.22
"420031303003",0,0,0,0.00,253,261,8,7.25,0,0,0,0.00,0,0,0,0.00,26,18,8,0.75
"420031304001",0,0,0,0.00,164,164,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031304002",0,0,0,0.00,190,190,0,0.00,0,0,0,0.00,0,0,0,0.00,7,7,0,0.00
"420031304003",0,0,0,0.00,116,117,1,0.92,0,0,0,0.00,0,0,0,0.00,10,9,1,0.08
"420031306001",0,0,0,0.00,224,222,2,1.79,0,0,0,0.00,26,28,2,0.21,0,0,0,0.00
"420031306002",58,54,4,0.74,241,250,9,6.89,0,0,0,0.00,0,0,0,0.00,16,11,5,0.25
"420031306003",23,16,7,0.21,648,662,14,12.05,0,0,0,0.00,10,5,5,0.07,72,70,2,0.19
"420031401001",356,350,6,5.00,0,0,0,0.00,0,0,0,0.00,24,22,2,0.11,47,55,8,0.88
"420031401002",356,348,8,6.34,16,14,2,0.07,56,63,7,0.87,21,24,3,0.14,0,0,0,0.00
"420031401004",142,134,8,7.42,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,11,19,8,0.58
"420031402001",256,250,6,4.88,14,19,5,0.22,25,24,1,0.08,20,22,2,0.13,0,0,0,0.00
"420031402002",549,566,17,12.04,47,49,2,0.12,155,136,19,3.80,7,11,4,0.04,17,13,4,0.09
"420031403001",322,317,5,4.48,11,10,1,0.03,26,32,6,0.43,0,0,0,0.00,0,0,0,0.00
"420031403002",406,412,6,5.09,44,40,4,0.37,17,12,5,0.18,0,0,0,0.00,12,15,3,0.08
"420031403003",333,337,4,3.67,16,12,4,0.18,14,14,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031403004",277,280,3,2.77,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,23,20,3,0.23
"420031404001",253,252,1,0.83,12,12,0,0.00,34,36,2,0.22,0,0,0,0.00,7,6,1,0.02
"420031404002",253,253,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031404003",385,386,1,0.99,0,0,0,0.00,4,3,1,0.01,0,0,0,0.00,0,0,0,0.00
"420031405001",153,149,4,1.53,247,251,4,2.47,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031405002",47,49,2,0.37,184,183,1,0.73,0,0,0,0.00,0,0,0,0.00,21,20,1,0.08
"420031405003",273,284,11,7.76,101,94,7,1.83,0,0,0,0.00,0,0,0,0.00,13,9,4,0.13
"420031406001",517,500,17,15.50,12,14,2,0.04,38,53,15,1.01,0,0,0,0.00,0,0,0,0.00
"420031406002",270,275,5,4.05,35,26,9,0.95,21,26,5,0.32,7,6,1,0.02,0,0,0,0.00
"420031406003",454,460,6,5.34,47,41,6,0.55,0,0,0,0.00,9,9,0,0.00,0,0,0,0.00
"420031408001",709,704,5,4.38,0,0,0,0.00,95,102,7,0.82,5,3,2,0.01,0,0,0,0.00
"420031408002",603,607,4,3.34,0,0,0,0.00,108,107,1,0.15,11,8,3,0.05,0,0,0,0.00
"420031408003",400,398,2,1.90,0,0,0,0.00,20,22,2,0.10,0,0,0,0.00,0,0,0,0.00
"420031410001",413,408,5,4.53,22,28,6,0.29,21,20,1,0.05,0,0,0,0.00,0,0,0,0.00
"420031411001",577,577,0,0.00,8,6,2,0.03,17,19,2,0.06,0,0,0,0.00,0,0,0,0.00
"420031413001",667,667,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031413002",681,676,5,4.29,0,0,0,0.00,112,117,5,0.71,0,0,0,0.00,0,0,0,0.00
"420031413003",775,754,21,16.21,17,26,9,0.15,135,139,4,0.54,0,0,0,0.00,77,85,8,0.61
"420031414001",394,380,14,12.34,0,0,0,0.00,43,53,10,0.96,0,0,0,0.00,10,14,4,0.09
"420031414002",266,266,0,0.00,0,0,0,0.00,12,12,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031414003",363,363,0,0.00,25,28,3,0.18,36,33,3,0.25,0,0,0,0.00,0,0,0,0.00
"420031414004",687,668,19,14.20,102,113,11,1.22,118,129,11,1.41,0,0,0,0.00,12,9,3,0.04
"420031414005",575,581,6,5.68,14,10,4,0.09,18,16,2,0.06,0,0,0,0.00,0,0,0,0.00
"420031516001",488,480,8,7.34,44,52,8,0.66,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031516002",316,318,2,1.72,32,32,0,0.00,0,0,0,0.00,4,3,1,0.01,15,14,1,0.04
"420031516003",210,210,0,0.00,0,0,0,0.00,8,8,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031517001",331,336,5,3.76,37,33,4,0.34,38,45,7,0.60,0,0,0,0.00,34,26,8,0.62
"420031517002",269,273,4,3.35,27,29,2,0.17,25,19,6,0.47,0,0,0,0.00,0,0,0,0.00
"420031517003",296,304,8,6.35,41,36,5,0.55,36,33,3,0.29,0,0,0,0.00,0,0,0,0.00
"420031517004",281,281,0,0.00,12,12,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031517005",276,277,1,0.65,49,50,1,0.12,85,83,2,0.40,0,0,0,0.00,12,12,0,0.00
"420031517006",486,483,3,2.85,26,29,3,0.15,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031608001",232,230,2,1.89,0,0,0,0.00,14,16,2,0.11,0,0,0,0.00,0,0,0,0.00
"420031608002",304,306,2,1.91,15,13,2,0.09,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031608003",253,257,4,3.19,20,29,9,0.57,44,31,13,1.80,0,0,0,0.00,0,0,0,0.00
"420031608004",254,245,9,6.61,27,29,2,0.16,0,0,0,0.00,12,13,1,0.03,53,59,6,0.92
"420031609001",477,469,8,7.27,5,4,1,0.01,43,52,9,0.74,0,0,0,0.00,0,0,0,0.00
"420031609002",1142,1138,4,3.85,35,37,2,0.06,0,0,0,0.00,10,12,2,0.02,0,0,0,0.00
"420031702001",278,280,2,1.55,0,0,0,0.00,0,0,0,0.00,80,78,2,0.45,0,0,0,0.00
"420031702002",448,448,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031702003",669,679,10,9.68,0,0,0,0.00,22,12,10,0.32,0,0,0,0.00,0,0,0,0.00
"420031702004",549,553,4,3.88,17,13,4,0.12,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031706001",243,243,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031706002",302,298,4,3.44,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,49,53,4,0.56
"420031706003",287,290,3,2.80,21,18,3,0.20,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031803001",376,386,10,7.30,128,118,10,2.49,0,0,0,0.00,0,0,0,0.00,11,11,0,0.00
"420031803002",157,154,3,1.93,87,90,3,1.07,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031803003",221,242,21,16.94,50,31,19,3.47,0,0,0,0.00,0,0,0,0.00,3,1,2,0.02
"420031807001",319,319,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031807002",296,296,0,0.00,0,0,0,0.00,5,5,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031807003",198,196,2,1.41,47,46,1,0.17,0,0,0,0.00,0,0,0,0.00,35,38,3,0.38
"420031903001",620,610,10,9.60,12,20,8,0.15,0,0,0,0.00,14,16,2,0.04,0,0,0,0.00
"420031903002",373,372,1,0.90,30,33,3,0.22,0,0,0,0.00,4,3,1,0.01,7,6,1,0.02
"420031911001",431,432,1,0.95,13,13,0,0.00,0,0,0,0.00,9,8,1,0.02,0,0,0,0.00
"420031911002",745,739,6,5.71,30,29,1,0.04,8,15,7,0.07,0,0,0,0.00,0,0,0,0.00
"420031914001",849,840,9,8.91,9,18,9,0.09,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031914002",587,599,12,11.11,47,35,12,0.89,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031915001",320,320,0,0.00,23,23,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031915002",588,599,11,9.61,43,37,6,0.38,0,0,0,0.00,0,0,0,0.00,42,37,5,0.31
"420031916001",366,367,1,0.94,25,24,1,0.06,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031916002",270,266,4,3.28,59,63,4,0.72,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031916003",200,197,3,2.07,77,77,0,0.00,0,0,0,0.00,13,16,3,0.13,0,0,0,0.00
"420031916004",319,322,3,2.54,58,55,3,0.46,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031916005",427,414,13,11.96,10,11,1,0.02,0,0,0,0.00,0,0,0,0.00,27,39,12,0.70
"420031917001",862,853,9,7.87,8,6,2,0.02,89,92,3,0.27,0,0,0,0.00,27,35,8,0.22
"420031917002",235,240,5,4.70,15,10,5,0.30,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031917003",326,326,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031918001",307,307,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031918002",289,289,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031918003",268,273,5,4.24,48,43,5,0.76,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031918004",333,340,7,6.78,11,4,7,0.22,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031918005",316,316,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031918006",425,425,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031918007",405,405,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031919001",340,340,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031919002",346,348,2,1.84,31,29,2,0.16,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031919003",281,281,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031920001",344,344,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031920002",275,276,1,0.95,9,10,1,0.03,0,0,0,0.00,0,0,0,0.00,4,2,2,0.03
"420031920003",318,316,2,1.92,13,15,2,0.08,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420031920004",369,368,1,0.86,43,45,2,0.20,7,4,3,0.05,10,12,2,0.05,0,0,0,0.00
