stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420659501001",25,28,3,0.15,81,74,7,1.13,57,52,5,0.57,104,107,3,0.62,59,69,10,1.18,53,44,9,0.95,121,126,5,1.21
"420659501002",9,6,3,0.07,61,64,3,0.45,65,63,2,0.32,76,86,10,1.86,63,50,13,2.00,54,73,19,2.51,81,67,14,2.77
"420659502001",17,19,2,0.07,62,52,10,1.25,71,60,11,1.57,124,111,13,3.24,57,69,12,1.38,44,44,0,0.00,122,142,20,4.91
"420659502002",7,10,3,0.05,43,39,4,0.38,77,86,9,1.52,158,174,16,5.56,91,87,4,0.80,44,29,15,1.45,35,30,5,0.38
"420659502003",0,0,0,0.00,23,22,1,0.08,12,11,1,0.04,75,84,9,2.42,89,76,13,4.15,53,56,3,0.57,27,30,3,0.29
"420659503001",30,25,5,0.32,27,30,3,0.17,89,90,1,0.19,121,119,2,0.52,58,55,3,0.37,74,73,1,0.16,68,75,7,1.02
"420659503002",9,5,4,0.07,68,72,4,0.51,86,86,0,0.00,107,99,8,1.62,121,124,3,0.68,83,91,8,1.25,56,53,3,0.32
"420659503003",12,10,2,0.05,38,32,6,0.47,51,56,5,0.52,168,177,9,3.09,87,88,1,0.18,48,43,5,0.49,85,83,2,0.35
"420659503004",6,5,1,0.02,40,48,8,1.08,29,22,7,0.69,78,79,1,0.26,37,37,0,0.00,63,69,6,1.28,42,35,7,1.00
"420659503005",18,19,1,0.04,45,48,3,0.31,84,76,8,1.56,119,129,10,2.77,60,71,11,1.53,41,37,4,0.38,63,50,13,1.90
"420659504001",0,0,0,0.00,52,49,3,0.55,16,11,5,0.28,77,90,13,3.55,51,47,4,0.72,46,48,2,0.33,40,37,3,0.43
"420659504002",0,0,0,0.00,83,75,8,2.29,53,65,12,2.19,34,30,4,0.47,53,65,12,2.19,38,37,1,0.13,29,18,11,1.10
"420659504003",5,5,0,0.00,17,14,3,0.18,73,65,8,2.03,33,27,6,0.69,60,63,3,0.63,55,75,20,3.83,44,38,6,0.92
"420659505001",3,1,2,0.01,49,45,4,0.41,83,90,7,1.21,114,126,12,2.84,40,41,1,0.08,109,99,10,2.26,84,80,4,0.70
"420659505002",34,44,10,0.85,58,57,1,0.14,72,76,4,0.72,52,45,7,0.91,89,74,15,3.32,11,11,0,0.00,86,95,9,1.93
"420659506001",3,5,2,0.01,45,46,1,0.09,61,62,1,0.12,130,133,3,0.80,73,79,6,0.90,72,70,2,0.29,105,94,11,2.36
"420659506002",16,19,3,0.10,61,74,13,1.63,100,94,6,1.23,112,120,8,1.84,69,80,11,1.56,81,61,20,3.33,47,38,9,0.87
"420659506003",3,6,3,0.02,96,90,6,1.15,70,55,15,2.09,89,91,2,0.35,101,112,11,2.21,75,79,4,0.60,69,70,1,0.14
"420659506004",6,7,1,0.01,36,38,2,0.17,79,82,3,0.57,104,95,9,2.27,101,103,2,0.49,25,26,1,0.06,62,62,0,0.00
"420659506005",15,18,3,0.10,60,61,1,0.14,63,56,7,1.01,67,61,6,0.92,77,74,3,0.53,43,45,2,0.20,112,122,10,2.56
"420659507001",0,0,0,0.00,97,114,17,3.96,21,20,1,0.05,88,90,2,0.42,91,87,4,0.88,78,67,11,2.06,41,38,3,0.30
"420659507002",19,24,5,0.36,30,34,4,0.45,43,33,10,1.63,54,54,0,0.00,44,38,6,1.00,43,52,9,1.47,31,29,2,0.23
"420659507003",25,22,3,0.15,36,29,7,0.52,106,119,13,2.82,99,105,6,1.22,87,86,1,0.18,29,30,1,0.06,106,97,9,1.95
"420659508001",15,19,4,0.13,19,16,3,0.12,61,62,1,0.13,104,110,6,1.30,82,89,7,1.20,68,74,6,0.85,130,109,21,5.70
"420659508002",0,0,0,0.00,56,58,2,0.20,75,69,6,0.79,137,138,1,0.24,127,135,8,1.78,92,95,3,0.48,85,77,8,1.19
"420659508003",15,9,6,0.17,89,91,2,0.34,83,97,14,2.20,103,95,8,1.56,79,72,7,1.05,59,61,2,0.22,100,103,3,0.57
"420659509001",6,8,2,0.03,55,54,1,0.12,82,86,4,0.74,93,102,9,1.89,72,68,4,0.65,84,75,9,1.70,52,51,1,0.12
"420659509002",2,1,1,0.01,18,11,7,0.56,34,39,5,0.76,43,37,6,1.15,62,58,4,1.10,30,35,5,0.67,36,44,8,1.28
"420659509003",11,14,3,0.07,46,52,6,0.58,52,56,4,0.44,110,91,19,4.39,102,94,8,1.71,64,72,8,1.08,91,97,6,1.15
"420659509004",7,6,1,0.01,40,41,1,0.08,114,120,6,1.41,99,96,3,0.61,91,93,2,0.38,70,73,3,0.43,64,56,8,1.06
"420659510001",20,20,0,0.00,70,84,14,2.09,71,68,3,0.45,101,79,22,4.74,101,118,17,3.66,62,57,5,0.66,44,43,1,0.09
"420659510002",11,16,5,0.14,56,68,12,1.66,71,76,5,0.88,105,98,7,1.81,54,38,16,2.13,64,62,2,0.32,44,47,3,0.33
"420659510003",9,5,4,0.14,44,50,6,1.01,57,63,6,1.31,33,35,2,0.25,44,42,2,0.34,40,42,2,0.31,35,25,10,1.34
"420659510004",7,11,4,0.07,35,43,8,0.73,66,69,3,0.51,131,121,10,3.40,60,59,1,0.16,48,45,3,0.37,38,37,1,0.10
"420659511001",0,0,0,0.00,52,42,10,1.31,75,72,3,0.57,92,97,5,1.16,100,93,7,1.76,48,60,12,1.45,30,33,3,0.23
"420659511002",14,14,0,0.00,26,36,10,0.69,52,65,13,1.79,113,100,13,3.90,83,81,2,0.44,68,65,3,0.54,21,16,5,0.28
"420659511003",2,2,0,0.00,26,32,6,0.45,53,61,8,1.24,75,81,6,1.31,77,80,3,0.67,51,44,7,1.04,59,43,16,2.75
"420659511004",16,19,3,0.11,32,27,5,0.36,57,55,2,0.26,145,144,1,0.33,65,54,11,1.63,52,59,7,0.83,72,81,9,1.48
"420659512001",0,0,0,0.00,75,82,7,1.38,95,107,12,2.99,60,51,9,1.42,35,33,2,0.18,53,49,4,0.56,63,59,4,0.66
"420659512002",28,32,4,0.20,56,55,1,0.10,53,55,2,0.19,196,185,11,3.78,77,84,7,0.95,106,108,2,0.37,54,51,3,0.28
"420659512003",7,7,0,0.00,49,41,8,0.75,68,51,17,2.22,120,121,1,0.23,108,135,27,5.61,142,129,13,3.55,26,36,10,0.50
"420659513001",13,8,5,0.19,33,23,10,0.95,15,18,3,0.13,93,86,7,1.87,61,72,11,1.92,61,77,16,2.80,73,65,8,1.67
"420659513002",66,74,8,0.90,84,76,8,1.15,109,117,8,1.49,111,91,20,3.79,76,86,10,1.30,33,39,6,0.34,106,102,4,0.72
"420659513003",11,14,3,0.12,59,61,2,0.42,22,18,4,0.31,39,39,0,0.00,78,76,2,0.56,23,23,0,0.00,48,49,1,0.17
