stcotrbg,count_of_households,size_accuracy,age_accuracy,income_accuracy,race_accuracy,overall_accuracy
"420659501001",500,0.77,0.83,0.86,0.00,2.46
"420659501002",409,1.96,1.43,0.80,1.00,5.19
"420659502001",497,1.32,1.77,1.37,0.78,5.24
"420659502002",455,0.87,1.45,0.42,0.00,2.74
"420659502003",279,1.39,1.08,1.30,0.00,3.77
"420659503001",467,0.78,0.39,0.95,0.40,2.52
"420659503002",530,1.41,0.64,1.03,0.00,3.08
"420659503003",489,0.50,0.74,1.05,0.40,2.69
"420659503004",295,0.79,0.62,1.45,0.00,2.86
"420659503005",430,1.10,1.21,0.72,0.00,3.03
"420659504001",282,0.71,0.84,1.12,0.40,3.07
"420659504002",290,0.20,1.20,0.75,0.00,2.15
"420659504003",287,0.67,1.18,0.83,0.19,2.87
"420659505001",482,1.01,1.07,0.78,0.00,2.86
"420659505002",402,0.33,1.12,1.27,0.40,3.12
"420659506001",489,1.20,0.65,0.53,0.00,2.38
"420659506002",486,1.49,1.51,1.42,0.60,5.02
"420659506003",503,0.97,0.94,0.64,0.99,3.54
"420659506004",413,1.38,0.51,0.52,0.40,2.81
"420659506005",437,0.44,0.78,0.77,0.00,1.99
"420659507001",416,1.28,1.10,0.75,0.00,3.13
"420659507002",264,0.50,0.73,1.06,0.00,2.29
"420659507003",488,0.81,0.99,0.97,0.00,2.77
"420659508001",479,0.93,1.35,0.81,0.00,3.09
"420659508002",572,1.65,0.67,0.86,0.20,3.38
"420659508003",528,1.23,0.87,1.08,0.20,3.38
"420659509001",444,2.38,0.75,1.53,0.20,4.86
"420659509002",225,1.06,0.79,0.53,0.20,2.58
"420659509003",476,0.48,1.35,0.86,0.00,2.69
"420659509004",485,1.16,0.57,1.00,0.00,2.73
"420659510001",469,0.64,1.67,1.61,0.40,4.32
"420659510002",405,0.62,1.04,1.46,0.00,3.12
"420659510003",262,0.91,0.67,1.08,0.00,2.66
"420659510004",385,0.68,0.76,1.20,0.59,3.23
"420659511001",397,0.98,0.93,1.27,0.40,3.58
"420659511002",377,0.19,1.09,1.51,0.20,2.99
"420659511003",343,0.83,1.07,1.61,0.00,3.51
"420659511004",439,1.92,0.71,0.94,0.00,3.57
"420659512001",381,1.07,1.03,1.16,0.00,3.26
"420659512002",570,1.11,0.84,1.51,0.00,3.46
"420659512003",520,0.46,1.84,1.65,0.00,3.95
"420659513001",349,0.47,1.36,0.59,0.20,2.62
"420659513002",585,1.78,1.38,1.28,0.80,5.24
"420659513003",280,1.03,0.23,1.42,0.00,2.68
