stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420659501001",42,49,7,0.59,47,47,0,0.00,115,124,9,2.07,71,64,7,0.99,45,39,6,0.54,125,119,6,1.50,55,58,3,0.33
"420659501002",18,23,5,0.22,23,26,3,0.17,109,114,5,1.33,58,50,8,1.13,42,44,2,0.21,147,140,7,2.52,12,12,0,0.00
"420659502001",35,41,6,0.42,23,22,1,0.05,50,45,5,0.50,48,68,20,1.93,92,82,10,1.85,190,178,12,4.59,59,61,2,0.24
"420659502002",15,11,4,0.13,18,15,3,0.12,23,22,1,0.05,44,44,0,0.00,79,85,6,1.04,233,236,3,1.54,43,42,1,0.09
"420659502003",22,21,1,0.08,28,26,2,0.20,31,34,3,0.33,27,32,5,0.48,73,56,17,4.45,74,87,13,3.45,24,23,1,0.09
"420659503001",9,21,12,0.23,40,33,7,0.60,63,67,4,0.54,67,69,2,0.29,84,91,7,1.26,143,135,8,2.45,61,51,10,1.31
"420659503002",11,10,1,0.02,32,40,8,0.48,78,84,6,0.88,97,104,7,1.28,134,128,6,1.52,148,138,10,2.79,30,26,4,0.23
"420659503003",11,13,2,0.04,26,29,3,0.16,50,53,3,0.31,109,115,6,1.34,67,74,7,0.96,161,152,9,2.96,65,53,12,1.60
"420659503004",18,19,1,0.06,14,14,0,0.00,36,37,1,0.12,51,58,7,1.21,31,44,13,1.37,132,116,16,7.16,13,7,6,0.26
"420659503005",32,27,5,0.37,19,21,2,0.09,69,64,5,0.80,82,80,2,0.38,97,102,5,1.13,117,125,8,2.18,14,11,3,0.10
"420659504001",17,17,0,0.00,0,4,4,0.00,45,42,3,0.48,51,46,5,0.90,46,46,0,0.00,55,72,17,3.32,68,55,13,3.13
"420659504002",27,24,3,0.28,14,18,4,0.19,49,52,3,0.51,53,52,1,0.18,22,35,13,0.99,74,70,4,1.02,51,39,12,2.11
"420659504003",6,10,4,0.08,34,28,6,0.71,39,53,14,1.90,27,29,2,0.19,57,54,3,0.60,64,59,5,1.11,60,54,6,1.25
"420659505001",49,53,4,0.41,23,15,8,0.38,93,88,5,0.96,28,29,1,0.06,74,76,2,0.31,163,172,9,3.04,52,49,3,0.32
"420659505002",18,23,5,0.22,35,45,10,0.87,122,105,17,5.16,26,25,1,0.06,64,61,3,0.48,118,125,7,2.05,19,18,1,0.05
"420659506001",23,27,4,0.19,36,35,1,0.07,70,68,2,0.29,72,72,0,0.00,95,102,7,1.36,156,151,5,1.60,37,34,3,0.23
"420659506002",23,22,1,0.05,33,27,6,0.41,56,57,1,0.12,68,64,4,0.56,79,79,0,0.00,178,199,21,7.69,49,38,11,1.11
"420659506003",30,33,3,0.18,30,30,0,0.00,87,90,3,0.52,54,65,11,1.18,120,114,6,1.43,137,136,1,0.27,45,35,10,0.89
"420659506004",36,40,4,0.35,26,31,5,0.31,59,60,1,0.14,49,51,2,0.24,78,72,6,1.13,133,129,4,1.29,32,30,2,0.15
"420659506005",26,28,2,0.12,36,38,2,0.16,100,106,6,1.37,64,72,8,1.17,66,54,12,1.81,123,121,2,0.56,22,18,4,0.20
"420659507001",78,77,1,0.19,30,28,2,0.14,54,58,4,0.52,35,44,9,0.76,78,82,4,0.75,125,116,9,2.70,16,11,5,0.19
"420659507002",37,34,3,0.42,11,18,7,0.29,38,25,13,1.87,28,33,5,0.53,41,53,12,1.86,105,99,6,2.39,4,2,2,0.03
"420659507003",72,86,14,2.07,41,46,5,0.42,71,66,5,0.73,56,48,8,0.92,84,90,6,1.03,133,129,4,1.09,31,23,8,0.51
"420659508001",5,8,3,0.03,40,42,2,0.17,78,88,10,1.63,102,87,15,3.19,78,75,3,0.49,147,147,0,0.00,29,32,3,0.18
"420659508002",40,50,10,0.70,27,29,2,0.09,42,44,2,0.15,115,98,17,3.42,113,115,2,0.40,201,198,3,1.05,34,38,4,0.24
"420659508003",33,32,1,0.06,33,40,7,0.44,127,132,5,1.20,96,93,3,0.55,114,98,16,3.45,106,115,9,1.81,19,18,1,0.04
"420659509001",33,41,8,0.59,22,29,7,0.35,67,56,11,1.66,28,31,3,0.19,85,102,17,3.25,142,136,6,1.92,67,49,18,2.72
"420659509002",6,10,4,0.11,18,29,11,0.88,54,53,1,0.24,15,10,5,0.33,35,37,2,0.31,65,63,2,0.58,32,23,9,1.28
"420659509003",38,46,8,0.64,42,39,3,0.26,65,78,13,1.78,67,65,2,0.28,77,75,2,0.32,162,155,7,2.38,25,18,7,0.37
"420659509004",36,49,13,0.96,32,26,6,0.40,73,77,4,0.60,44,46,2,0.18,94,92,2,0.39,160,147,13,4.29,46,48,2,0.19
