stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420659501001",186,179,7,2.60,160,163,3,0.96,70,75,5,0.70,60,52,8,0.96,18,23,5,0.18,6,8,2,0.02,0,0,0,0.00
"420659501002",137,156,19,6.36,125,110,15,4.58,73,62,11,1.96,45,52,7,0.77,17,17,0,0.00,10,12,2,0.05,2,0,2,0.01
"420659502001",93,116,23,4.30,220,213,7,3.10,74,67,7,1.04,61,55,6,0.74,33,33,0,0.00,8,4,4,0.06,8,9,1,0.02
"420659502002",98,83,15,3.23,165,168,3,1.09,69,75,6,0.91,60,61,1,0.13,30,39,9,0.59,19,16,3,0.13,14,13,1,0.03
"420659502003",82,66,16,4.70,118,128,10,4.23,30,36,6,0.65,27,26,1,0.10,14,13,1,0.05,3,5,2,0.02,5,5,0,0.00
"420659503001",91,102,11,2.14,198,195,3,1.27,90,86,4,0.77,52,43,9,1.00,20,23,3,0.13,11,8,3,0.07,5,10,5,0.05
"420659503002",108,124,16,3.26,196,182,14,5.18,95,93,2,0.36,66,62,4,0.50,38,41,3,0.22,13,20,7,0.17,14,8,6,0.16
"420659503003",104,105,1,0.21,208,205,3,1.28,61,64,3,0.37,75,83,8,1.23,27,20,7,0.39,11,10,1,0.02,3,2,1,0.01
"420659503004",60,57,3,0.61,124,134,10,4.20,48,47,1,0.16,41,37,4,0.56,14,14,0,0.00,7,6,1,0.02,1,0,1,0.00
"420659503005",121,105,16,4.50,165,163,2,0.77,79,91,12,2.20,39,39,0,0.00,18,23,5,0.21,4,6,2,0.02,4,3,1,0.01
"420659504001",90,83,7,2.23,109,114,5,1.93,33,30,3,0.35,31,33,2,0.22,15,19,4,0.21,3,1,2,0.02,1,2,1,0.00
"420659504002",84,84,0,0.00,112,110,2,0.77,50,52,2,0.34,28,29,1,0.10,13,9,4,0.18,2,3,1,0.01,1,3,2,0.01
"420659504003",100,98,2,0.70,102,111,9,3.20,37,35,2,0.26,34,30,4,0.47,11,9,2,0.08,1,2,1,0.00,2,2,0,0.00
"420659505001",171,164,7,2.48,160,154,6,1.99,89,97,8,1.48,44,55,11,1.00,12,7,5,0.12,6,5,1,0.01,0,0,0,0.00
"420659505002",168,165,3,1.25,118,117,1,0.29,57,57,0,0.00,37,33,4,0.37,16,26,10,0.40,5,4,1,0.01,1,0,1,0.00
"420659506001",171,187,16,5.60,175,170,5,1.79,60,58,2,0.25,59,54,5,0.60,16,11,5,0.16,7,7,0,0.00,1,2,1,0.00
"420659506002",91,98,7,1.31,195,183,12,4.81,98,86,12,2.42,60,72,12,1.48,27,34,7,0.39,9,9,0,0.00,6,4,2,0.02
"420659506003",123,131,8,1.96,193,198,5,1.92,87,78,9,1.56,66,73,7,0.92,29,22,7,0.40,2,0,2,0.01,3,1,2,0.01
"420659506004",113,127,14,3.83,148,134,14,5.02,76,73,3,0.55,53,52,1,0.13,18,20,2,0.09,3,6,3,0.02,2,1,1,0.00
"420659506005",97,102,5,1.11,194,193,1,0.44,65,60,5,0.74,54,59,5,0.62,17,19,2,0.08,9,4,5,0.10,1,0,1,0.00
"420659507001",139,148,9,3.01,134,121,13,4.19,70,67,3,0.50,51,61,10,1.23,16,15,1,0.04,5,3,2,0.02,1,1,0,0.00
"420659507002",70,68,2,0.53,83,88,5,1.57,39,34,5,0.74,42,39,3,0.48,20,21,1,0.08,6,9,3,0.07,4,5,1,0.02
"420659507003",169,166,3,1.04,145,138,7,2.08,80,75,5,0.82,58,71,13,1.55,24,28,4,0.20,9,9,0,0.00,3,1,2,0.01
"420659508001",113,93,20,4.72,197,198,1,0.41,64,61,3,0.40,67,69,2,0.28,26,37,11,0.60,6,9,3,0.04,6,12,6,0.08
"420659508002",126,133,7,1.54,214,196,18,6.73,105,103,2,0.37,87,105,18,2.74,27,24,3,0.14,6,2,4,0.04,7,9,2,0.02
"420659508003",185,192,7,2.45,179,165,14,4.75,83,89,6,0.94,51,55,4,0.39,23,21,2,0.09,5,5,0,0.00,2,1,1,0.00
"420659509001",97,111,14,3.06,174,144,30,11.76,91,97,6,1.23,55,58,3,0.37,21,26,5,0.24,4,6,2,0.02,2,2,0,0.00
"420659509002",45,52,7,1.40,91,83,8,3.24,42,49,7,1.31,28,19,9,1.12,15,20,5,0.33,3,2,1,0.01,1,0,1,0.00
"420659509003",116,122,6,1.46,188,187,1,0.39,73,68,5,0.77,59,57,2,0.25,21,14,7,0.31,8,14,6,0.10,11,14,3,0.07
"420659509004",101,94,7,1.46,192,186,6,2.38,79,70,9,1.47,74,91,17,2.59,28,30,2,0.12,9,13,4,0.07,2,1,1,0.00
"420659510001",94,98,4,0.80,161,156,5,1.72,87,83,4,0.74,54,49,5,0.58,27,30,3,0.17,17,26,9,0.33,29,27,2,0.12
"420659510002",82,81,1,0.20,155,158,3,1.15,79,87,8,1.56,47,37,10,1.16,17,21,4,0.17,15,14,1,0.04,10,7,3,0.07
"420659510003",78,64,14,4.17,92,95,3,1.05,36,37,1,0.14,35,40,5,0.67,17,22,5,0.32,2,3,1,0.01,2,1,1,0.01
"420659510004",83,72,11,2.37,128,128,0,0.00,63,57,6,0.98,50,56,6,0.78,24,27,3,0.19,11,13,2,0.06,26,32,6,0.41
"420659511001",83,90,7,1.46,150,143,7,2.64,74,82,8,1.49,59,53,6,0.89,24,19,5,0.30,5,10,5,0.06,2,0,2,0.01
