serialno,rt,division,puma,region,st,adjhsg,adjinc,wgtp,np,type,acr,ags,bds,bld,bus,conp,elep,fs,fulp,gasp,hfl,insp,mhp,mrgi,mrgp,mrgt,mrgx,rms,rntm,rntp,smp,tel,ten,vacs,val,veh,watp,ybl,fes,fincp,fparc,grntp,grpip,hhl,hht,hincp,hugcl,hupac,hupaoc,huparc,kit,lngi,mv,noc,npf,npp,nr,nrc,ocpip,partner,plm,psf,r18,r60,r65,resmode,smocp,smx,srnt,sval,taxp,wif,wkexrel,workstat,facrp,fagsp,fbdsp,fbldp,fbusp,fconp,felep,ffsp,ffulp,fgasp,fhflp,finsp,fkitp,fmhp,fmrgip,fmrgp,fmrgtp,fmrgxp,fmvp,fplmp,frmsp,frntmp,frntp,fsmp,fsmxhp,fsmxsp,ftaxp,ftelp,ftenp,fvacsp,fvalp,fvehp,fwatp,fyblp,wgtp1,wgtp2,wgtp3,wgtp4,wgtp5,wgtp6,wgtp7,wgtp8,wgtp9,wgtp10,wgtp11,wgtp12,wgtp13,wgtp14,wgtp15,wgtp16,wgtp17,wgtp18,wgtp19,wgtp20,wgtp21,wgtp22,wgtp23,wgtp24,wgtp25,wgtp26,wgtp27,wgtp28,wgtp29,wgtp30,wgtp31,wgtp32,wgtp33,wgtp34,wgtp35,wgtp36,wgtp37,wgtp38,wgtp39,wgtp40,wgtp41,wgtp42,wgtp43,wgtp44,wgtp45,wgtp46,wgtp47,wgtp48,wgtp49,wgtp50,wgtp51,wgtp52,wgtp53,wgtp54,wgtp55,wgtp56,wgtp57,wgtp58,wgtp59,wgtp60,wgtp61,wgtp62,wgtp63,wgtp64,wgtp65,wgtp66,wgtp67,wgtp68,wgtp69,wgtp70,wgtp71,wgtp72,wgtp73,wgtp74,wgtp75,wgtp76,wgtp77,wgtp78,wgtp79,wgtp80,hinc_adj
2010000741806,H,2,1400,1,42,1031543,1039407,17,3,1,2,1,2,01,2,0000,150,2,0800,003,3,00000,00600,,,,3,5,,,,1,2,,01,2,0480,5,1,000029700,2,,,1,1,29700,0,2,2,2,1,1,6,01,03,0,0,01,012,0,1,0,1,0,0,1,00307,,0,0,01,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,6,5,19,20,37,17,18,19,18,25,16,19,7,5,28,31,6,18,17,34,5,6,20,18,31,19,17,16,16,34,21,15,5,7,27,30,5,18,18,6,33,31,17,17,6,16,17,19,20,4,19,19,29,29,5,5,35,19,16,7,33,39,18,16,6,18,18,18,18,5,19,14,32,30,5,6,31,19,17,30870.39598525951200
2011001242042,H,2,1400,1,42,1000000,1018237,6,2,1,2,1,3,01,2,0000,070,2,2200,120,6,00210,00000,,,,3,6,,,,1,2,,04,2,0002,1,3,000027150,4,,,1,1,27150,0,4,4,4,1,1,4,00,02,0,0,00,019,0,1,0,0,2,1,1,00433,,0,0,12,1,6,7,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,6,5,9,2,6,6,9,6,5,2,6,5,10,2,2,6,2,6,5,5,9,9,6,5,8,1,5,2,2,5,2,9,5,5,5,9,5,2,2,2,4,6,1,9,6,6,2,5,5,9,5,6,1,7,8,6,9,5,6,5,2,2,6,5,1,9,5,8,8,6,10,1,5,6,5,2,5,10,9,27645.1345500
2011000810007,H,2,1400,1,42,1000000,1018237,6,2,1,2,1,3,02,2,0000,140,2,0700,080,6,00240,,1,00850,1,1,7,,,,1,1,,15,3,0100,4,2,000090000,4,,,1,1,90000,0,4,4,4,1,1,6,00,02,0,0,00,015,0,1,0,0,0,0,1,01136,3,0,1,32,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,9,2,6,9,10,6,6,6,5,6,1,6,9,2,6,2,7,8,2,6,1,10,5,2,2,6,5,5,7,6,9,5,2,11,6,10,5,9,2,5,2,10,4,1,2,6,6,6,5,6,9,7,1,10,6,10,6,2,11,6,11,2,6,10,9,5,5,5,5,6,1,6,11,2,6,2,6,2,91641.3300000
2011000968498,H,2,1400,1,42,1000000,1018237,9,1,1,1,,3,02,2,0000,080,2,0200,003,4,00660,,,,,3,7,,,,1,2,,07,1,0030,9,,,,,,1,4,88200,0,4,4,4,1,1,6,00,,0,0,00,002,0,1,0,0,0,0,1,00179,,0,1,07,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,14,10,8,16,8,3,14,15,3,7,9,3,8,3,9,8,9,3,15,9,15,7,9,15,8,3,16,16,3,9,8,2,10,3,10,10,9,2,17,10,15,9,9,14,8,2,14,16,3,8,9,2,10,3,11,7,10,2,16,9,14,8,8,14,9,2,16,13,3,7,8,2,9,3,8,8,11,3,89808.5034000
2007000590537,H,2,1400,1,42,1084729,1102938,3,2,1,2,1,4,02,2,0000,530,2,2300,003,4,00430,,,,,3,8,,,,1,2,,05,1,0002,5,1,000043500,4,,,1,1,43500,0,4,4,4,1,1,7,00,02,0,0,00,022,0,1,0,0,0,0,1,00796,,0,1,11,2,2,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,3,3,0,3,1,6,5,3,3,3,0,3,5,3,6,5,1,3,2,5,3,2,5,3,5,1,1,3,4,3,6,3,1,3,1,1,5,2,3,5,3,3,5,3,5,2,0,3,4,3,5,3,1,2,0,1,5,2,4,1,4,2,1,3,1,5,5,3,3,3,1,3,6,3,6,5,1,2,3,47977.82069276457000
2011000723100,H,2,1400,1,42,1000000,1018237,4,2,1,3,1,3,02,2,0000,100,2,0002,003,1,00850,,,,,3,7,,,,1,2,,14,1,0002,9,4,000026700,4,,,1,1,26700,0,4,4,4,1,1,7,00,02,0,0,00,011,0,1,0,0,2,2,1,00238,,0,0,18,0,9,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,8,8,5,4,4,7,1,7,4,1,1,1,4,7,1,4,4,4,4,4,6,6,5,4,4,7,1,8,4,1,1,1,4,7,1,4,4,4,3,4,7,6,4,4,4,7,2,7,4,1,1,1,4,8,1,4,4,3,4,4,7,6,4,4,4,7,1,8,4,1,1,2,5,6,1,4,4,5,5,27186.9279000
2009000978503,H,2,1400,1,42,1048571,1048026,4,2,1,1,,3,02,2,0000,050,2,0800,003,4,00220,,,,,3,6,,,,1,2,,08,1,0080,9,,,,,,1,7,28000,0,4,4,4,1,1,3,00,,0,1,00,009,0,1,0,0,0,0,1,00200,,0,1,16,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,8,9,4,6,5,7,1,7,5,1,2,2,5,8,1,6,5,5,5,5,2,2,5,4,6,2,12,1,5,9,8,10,4,2,8,4,4,6,6,4,8,9,6,4,5,10,2,10,4,2,2,2,4,10,1,4,4,5,5,6,1,2,5,4,7,2,8,1,4,9,8,7,6,1,7,4,5,29344.73283997920000
2010000915016,H,2,1400,1,42,1031543,1039407,5,3,1,2,1,3,01,2,0000,080,1,1000,010,6,00440,00600,,,,3,6,,,,1,2,,09,2,1000,3,1,000048200,4,,,1,1,48200,0,4,4,4,1,1,5,00,03,0,0,00,011,0,1,0,0,1,1,1,00460,,0,0,25,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,8,2,6,8,8,8,4,2,7,4,6,5,5,1,1,6,5,4,5,1,9,2,5,8,9,10,5,2,10,4,5,5,5,1,1,4,5,5,5,8,1,8,5,1,2,1,5,8,1,4,5,5,6,9,9,5,5,6,5,8,1,9,4,2,1,1,5,8,1,4,5,5,5,7,8,4,4,5,50099.43052153227200
2011000613316,H,2,1400,1,42,1000000,1018237,7,4,1,2,1,3,01,2,0000,130,2,0002,001,1,,,,,,,6,2,00500,,1,3,,,2,0002,2,1,000065000,2,0630,012,1,1,65000,0,2,2,2,1,1,3,02,04,0,0,02,,0,1,0,1,0,0,2,,,1,0,,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,11,9,7,2,13,9,8,11,7,9,14,8,7,8,11,2,11,7,9,6,7,16,2,7,7,2,3,6,11,12,7,2,12,2,8,7,7,10,11,11,2,7,8,12,2,6,8,2,8,6,2,7,6,6,3,12,3,8,8,8,8,2,11,8,7,10,12,7,3,2,7,12,2,12,7,7,6,66185.4050000
2008001358193,H,2,1400,1,42,1044592,1063801,28,2,1,,,1,06,,0000,001,1,0001,001,1,,,,,,,3,2,00040,,1,3,,,0,0002,9,4,000007600,4,0040,006,5,1,7600,0,4,4,4,1,1,2,00,02,0,0,00,,0,1,0,0,0,0,1,,,1,0,,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31,26,36,46,46,28,44,8,57,9,29,7,8,31,28,27,32,29,25,26,47,8,9,28,31,50,24,26,23,29,45,27,25,8,9,43,49,8,8,42,24,33,29,9,8,28,8,43,9,44,32,46,40,27,29,35,30,28,32,25,9,52,50,25,30,9,28,25,28,27,9,32,23,43,44,8,9,50,52,8084.88784958149200
2010000837455,H,2,1400,1,42,1031543,1039407,22,2,1,1,,3,02,2,0000,060,1,0002,100,1,,,,,,,6,2,00350,,1,3,,,1,1200,9,4,000010600,4,0610,069,1,1,10600,0,4,4,4,1,1,4,00,02,0,0,00,,0,1,0,0,0,0,1,,,1,0,,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,31,36,22,23,41,21,20,27,31,40,39,20,34,22,30,21,8,19,25,21,5,6,21,24,6,19,21,6,7,6,6,22,7,20,6,21,6,21,21,19,7,7,22,23,6,24,20,5,7,7,6,23,5,18,7,21,35,18,20,22,30,36,28,20,37,26,24,33,37,35,33,20,35,19,37,22,40,11017.71708564817600
