stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5
"420659501001",500,500,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659501002",399,394,5,4.88,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,10,15,5,0.12
"420659502001",480,484,4,3.86,0,0,0,0.00,0,0,0,0.00,11,9,2,0.04,6,4,2,0.02
"420659502002",455,455,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659502003",279,279,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659503001",463,461,2,1.98,4,6,2,0.02,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659503002",530,530,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659503003",485,487,2,1.98,0,0,0,0.00,0,0,0,0.00,4,2,2,0.02,0,0,0,0.00
"420659503004",295,295,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659503005",430,430,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659504001",276,278,2,1.96,0,0,0,0.00,6,4,2,0.04,0,0,0,0.00,0,0,0,0.00
"420659504002",290,290,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659504003",262,261,1,0.91,0,0,0,0.00,11,11,0,0.00,0,0,0,0.00,14,15,1,0.05
"420659505001",482,482,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659505002",391,389,2,1.95,11,13,2,0.05,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659506001",489,489,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659506002",481,484,3,2.97,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,5,2,3,0.03
"420659506003",494,499,5,4.91,0,0,0,0.00,0,0,0,0.00,6,2,4,0.05,3,2,1,0.01
"420659506004",407,405,2,1.97,0,0,0,0.00,0,0,0,0.00,6,8,2,0.03,0,0,0,0.00
"420659506005",437,437,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659507001",416,416,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659507002",264,264,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659507003",488,488,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659508001",479,479,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659508002",553,554,1,0.97,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,19,18,1,0.03
"420659508003",524,523,1,0.99,0,0,0,0.00,4,5,1,0.01,0,0,0,0.00,0,0,0,0.00
"420659509001",437,438,1,0.98,0,0,0,0.00,2,1,1,0.00,0,0,0,0.00,5,5,0,0.00
"420659509002",223,224,1,0.99,0,0,0,0.00,0,0,0,0.00,2,1,1,0.01,0,0,0,0.00
"420659509003",476,476,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659509004",479,479,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,6,6,0,0.00
"420659510001",465,467,2,1.98,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,4,2,2,0.02
"420659510002",403,403,0,0.00,0,0,0,0.00,0,0,0,0.00,2,2,0,0.00,0,0,0,0.00
"420659510003",262,262,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659510004",374,377,3,2.91,0,0,0,0.00,0,0,0,0.00,4,0,4,0.04,7,8,1,0.02
"420659511001",390,392,2,1.96,0,0,0,0.00,0,0,0,0.00,7,5,2,0.04,0,0,0,0.00
"420659511002",372,373,1,0.99,0,0,0,0.00,2,3,1,0.01,0,0,0,0.00,3,1,2,0.02
"420659511003",343,343,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659511004",439,439,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659512001",381,381,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659512002",547,547,0,0.00,0,0,0,0.00,0,0,0,0.00,23,23,0,0.00,0,0,0,0.00
"420659512003",520,520,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420659513001",342,343,1,0.98,0,0,0,0.00,7,6,1,0.02,0,0,0,0.00,0,0,0,0.00
"420659513002",578,574,4,3.95,0,0,0,0.00,0,0,0,0.00,7,11,4,0.05,0,0,0,0.00
"420659513003",280,280,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
